TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
42,2025-06-17,Sweater,Clothing,South,Offline,3,579.89,1739.67,Cash,5159
43,2025-07-08,Jacket,Clothing,North,Online,10,5728.85,57288.5,UPI,9853
44,2025-03-17,T-Shirt,Clothing,North,Online,2,4053.76,8107.52,UPI,5914
45,2024-08-03,Curtains,Home Decor,South,Offline,1,6517.74,6517.74,Cash,9711
46,2025-07-17,Lipstick,Beauty,North,Offline,9,3116.66,28049.94,Credit Card,6690
47,2025-05-23,Sugar,Groceries,West,Online,9,7258.98,65330.82,Credit Card,5922
48,2024-10-28,Perfume,Beauty,South,Online,6,7502.6,45015.6,Net Banking,8963
49,2024-10-09,Curtains,Home Decor,East,Offline,4,271.79,1087.16,Cash,2285
50,2024-09-30,Rice,Groceries,East,Online,7,7341.36,51389.52,Net Banking,3213
51,2024-12-27,Rice,Groceries,South,Online,8,9600.18,76801.44,Cash,2552
52,2025-06-09,Face Wash,Beauty,North,Online,9,8070.72,72636.48,Net Banking,7582
53,2024-10-29,Jeans,Clothing,North,Online,3,8188.71,24566.13,Net Banking,4819
54,2025-03-01,Vase,Home Decor,North,Offline,1,5008.65,5008.65,UPI,5272
55,2024-12-18,T-Shirt,Clothing,East,Offline,3,8880.18,26640.54,UPI,6792
56,2025-05-30,T-Shirt,Clothing,North,Offline,7,7038.64,49270.48,Cash,7786
57,2024-08-23,Oil,Groceries,West,Online,2,9076.87,18153.74,Credit Card,1517
58,2024-07-19,Perfume,Beauty,South,Online,6,8912.23,53473.38,Credit Card,7117
59,2025-01-08,Football,Sports,West,Offline,8,5563.32,44506.56,Cash,4259
60,2024-09-28,Lamp,Home Decor,North,Online,2,1238.76,2477.52,UPI,7854
61,2025-04-06,Headphones,Electronics,East,Offline,7,5531.04,38717.28,Cash,5436
62,2024-09-26,Tennis Racket,Sports,West,Offline,6,9273.13,55638.78,Net Banking,8703
63,2025-01-06,Oil,Groceries,South,Offline,9,9812.14,88309.26,UPI,3954
64,2024-11-08,Wheat,Groceries,East,Offline,8,9732.63,77861.04,Cash,8597
65,2025-06-11,Wheat,Groceries,West,Online,4,2289.02,9156.08,Cash,3970
66,2024-08-27,Perfume,Beauty,West,Online,4,4353.97,17415.88,Net Banking,9274
67,2024-10-31,Vase,Home Decor,South,Online,3,7801.71,23405.13,Cash,4549
68,2024-12-26,Painting,Home Decor,West,Online,4,5863.13,23452.52,Credit Card,4036
69,2025-01-19,Oil,Groceries,South,Offline,8,3605.1,28840.8,Net Banking,8198
70,2024-12-10,Jacket,Clothing,West,Offline,2,3354.07,6708.14,Net Banking,8917
71,2024-09-26,Curtains,Home Decor,South,Offline,10,8349.67,83496.7,UPI,2569
72,2025-01-10,Shampoo,Beauty,North,Online,1,9569.93,9569.93,Net Banking,2936
73,2024-10-23,Yoga Mat,Sports,South,Online,9,2207.4,19866.6,Credit Card,1199
74,2025-04-12,Jeans,Clothing,South,Online,6,2795.55,16773.3,Cash,8044
75,2024-09-19,Perfume,Beauty,West,Online,7,9496.64,66476.48,Net Banking,6927
76,2024-10-08,Headphones,Electronics,South,Online,3,1022.62,3067.86,Credit Card,7058
77,2024-12-29,Lipstick,Beauty,South,Online,4,7067.3,28269.2,Credit Card,5429
78,2025-05-06,Sweater,Clothing,West,Offline,9,4745.23,42707.07,Net Banking,6196
79,2024-12-09,Perfume,Beauty,South,Offline,9,7846.99,70622.91,Net Banking,1299
80,2024-10-11,Tennis Racket,Sports,North,Offline,1,2098.92,2098.92,Cash,6502
81,2025-02-03,Face Wash,Beauty,East,Offline,5,2105.85,10529.25,Credit Card,9209
82,2025-06-08,Headphones,Electronics,South,Online,5,2342.37,11711.85,Net Banking,8846
83,2025-05-12,Football,Sports,West,Offline,8,2286.96,18295.68,UPI,6562
84,2024-09-17,Yoga Mat,Sports,West,Offline,10,4420.22,44202.2,UPI,8336
85,2025-02-21,Face Wash,Beauty,East,Offline,10,5301.72,53017.2,Net Banking,1576
86,2025-04-04,Tennis Racket,Sports,East,Offline,1,7692.79,7692.79,Credit Card,1842
87,2025-01-20,Lamp,Home Decor,South,Online,8,7763.38,62107.04,UPI,2118
88,2024-09-30,Vase,Home Decor,North,Online,6,3746.75,22480.5,Net Banking,8088
89,2025-06-14,Perfume,Beauty,West,Online,7,1700.53,11903.71,Net Banking,9863
90,2024-10-24,T-Shirt,Clothing,North,Online,6,4158.99,24953.94,Net Banking,4751
91,2025-05-24,Lipstick,Beauty,East,Offline,5,8186.85,40934.25,Credit Card,3908
92,2025-07-08,Smartphone,Electronics,North,Offline,8,8066.24,64529.92,Cash,4857
93,2024-11-08,Laptop,Electronics,South,Offline,8,591.12,4728.96,UPI,8139
94,2024-11-16,Headphones,Electronics,West,Online,5,5356.82,26784.1,Cash,2326
95,2025-06-06,Rice,Groceries,North,Offline,7,5561.13,38927.91,UPI,2208
96,2024-10-28,Headphones,Electronics,North,Offline,10,9652.15,96521.5,UPI,3852
97,2025-04-11,Perfume,Beauty,South,Offline,10,1410.55,14105.5,UPI,7209
98,2024-10-04,Lipstick,Beauty,North,Offline,4,4512.87,18051.48,UPI,4830
99,2025-03-09,Perfume,Beauty,West,Online,5,4509.1,22545.5,UPI,8347
100,2025-07-06,Painting,Home Decor,West,Offline,8,2718.14,21745.12,Net Banking,4165
101,2025-03-06,Yoga Mat,Sports,North,Online,3,6225.75,18677.25,Net Banking,5155
102,2024-12-30,Face Wash,Beauty,East,Online,9,7798,70182,Credit Card,9912
103,2025-04-05,Lamp,Home Decor,North,Offline,1,6390,6390,Cash,5819
104,2025-03-21,Lamp,Home Decor,West,Offline,5,7193.97,35969.85,Cash,7662
105,2025-03-04,Headphones,Electronics,East,Offline,5,9068.33,45341.65,Net Banking,7772
106,2025-05-30,Rice,Groceries,South,Online,10,7269.93,72699.3,Credit Card,4340
107,2025-01-06,Camera,Electronics,North,Offline,3,4507.95,13523.85,Net Banking,1117
108,2025-05-13,T-Shirt,Clothing,South,Offline,8,1615.4,12923.2,UPI,5218
109,2025-07-05,Face Wash,Beauty,East,Offline,6,6960.4,41762.4,UPI,1733
110,2025-07-13,Jacket,Clothing,South,Online,4,2844.9,11379.6,Net Banking,9350
111,2025-05-10,Headphones,Electronics,East,Offline,1,2182.77,2182.77,Net Banking,7362
112,2025-07-06,Jeans,Clothing,South,Online,4,2489.75,9959,UPI,5367
113,2025-01-30,T-Shirt,Clothing,West,Offline,5,2774.77,13873.85,Cash,2811
114,2025-01-01,Jeans,Clothing,West,Offline,6,1742.03,10452.18,Credit Card,4277
115,2024-10-28,Football,Sports,West,Online,6,5883.21,35299.26,Cash,1469
116,2024-12-31,Football,Sports,South,Online,8,2135.11,17080.88,Credit Card,9881
117,2024-08-12,Oil,Groceries,South,Offline,3,7070.9,21212.7,Net Banking,8090
118,2025-02-18,Oil,Groceries,North,Online,3,771.37,2314.11,Credit Card,6284
119,2025-06-04,Camera,Electronics,East,Online,10,8580.74,85807.4,Cash,6316
120,2025-01-09,Perfume,Beauty,South,Offline,8,6599.89,52799.12,Credit Card,2042
121,2025-02-03,Face Wash,Beauty,South,Online,5,9845.84,49229.2,UPI,5427
122,2024-11-15,Perfume,Beauty,North,Offline,7,2846.79,19927.53,Net Banking,7972
123,2025-04-25,Yoga Mat,Sports,North,Online,7,1709.42,11965.94,Credit Card,2309
124,2024-12-24,Wheat,Groceries,South,Offline,1,3605.88,3605.88,Net Banking,8389
125,2024-09-04,Cricket Bat,Sports,South,Online,2,9627.04,19254.08,Net Banking,4267
126,2025-05-11,Smartphone,Electronics,West,Online,1,7344.12,7344.12,Cash,5390
127,2025-04-16,Jacket,Clothing,South,Offline,9,5585.59,50270.31,Credit Card,2743
128,2024-09-20,Rice,Groceries,South,Online,7,2897.8,20284.6,Cash,3170
129,2025-01-20,Yoga Mat,Sports,East,Offline,4,7554.42,30217.68,UPI,6852
130,2025-01-25,Perfume,Beauty,South,Online,7,6368.11,44576.77,Credit Card,9370
131,2024-07-19,T-Shirt,Clothing,North,Offline,7,2288.04,16016.28,Cash,1922
132,2025-01-18,Sugar,Groceries,West,Offline,9,426.51,3838.59,Net Banking,5510
133,2025-01-26,Face Wash,Beauty,West,Online,6,4239.89,25439.34,UPI,9457
134,2024-12-09,Painting,Home Decor,South,Online,5,4951.04,24755.2,Cash,4282
135,2025-02-20,Rice,Groceries,West,Online,4,3132.25,12529,Credit Card,4800
136,2025-06-07,Cricket Bat,Sports,West,Offline,8,6908.17,55265.36,Net Banking,5817
137,2025-06-25,Sweater,Clothing,West,Online,1,8624.05,8624.05,Credit Card,4197
138,2025-01-16,Smartphone,Electronics,North,Online,10,2668.74,26687.4,Credit Card,2614
139,2024-10-22,Camera,Electronics,South,Offline,9,6918.99,62270.91,Credit Card,1303
140,2025-05-05,Yoga Mat,Sports,East,Offline,10,2283.92,22839.2,Net Banking,7023
141,2024-10-05,Rice,Groceries,West,Offline,4,5835.12,23340.48,UPI,3803
142,2024-11-24,Jacket,Clothing,South,Online,8,1857.5,14860,Net Banking,7967
143,2025-05-11,Cricket Bat,Sports,South,Online,2,3203.91,6407.82,Net Banking,9182
144,2025-01-12,Jeans,Clothing,East,Online,4,1533.82,6135.28,Net Banking,3359
145,2024-12-31,Perfume,Beauty,North,Offline,10,7256.62,72566.2,Cash,4337
146,2024-11-04,T-Shirt,Clothing,North,Online,6,3546.32,21277.92,Credit Card,3448
147,2024-08-12,Laptop,Electronics,East,Offline,1,5228,5228,Cash,7346
148,2025-03-10,Wheat,Groceries,North,Offline,5,8655.16,43275.8,Credit Card,2140
149,2025-03-12,Oil,Groceries,West,Offline,7,9696.44,67875.08,UPI,7545
150,2025-03-15,Football,Sports,East,Offline,7,6202.4,43416.8,Cash,9855
151,2024-12-19,Face Wash,Beauty,West,Online,8,3481.49,27851.92,Credit Card,4900
152,2025-02-04,Perfume,Beauty,North,Online,1,3196.54,3196.54,Cash,9144
153,2025-02-23,Shampoo,Beauty,West,Offline,1,8683.17,8683.17,Net Banking,2389
154,2025-07-14,Jacket,Clothing,West,Offline,9,5361.89,48257.01,UPI,9239
155,2024-09-04,T-Shirt,Clothing,East,Online,10,2329.19,23291.9,Credit Card,4302
156,2024-09-18,Cricket Bat,Sports,West,Online,5,8721.26,43606.3,Credit Card,4072
157,2025-04-28,Painting,Home Decor,East,Online,3,1294.63,3883.89,Cash,9382
158,2024-08-11,Tennis Racket,Sports,North,Offline,10,4193.43,41934.3,UPI,4972
159,2025-04-10,Wheat,Groceries,West,Offline,10,7345,73450,Cash,1022
160,2025-07-07,Painting,Home Decor,North,Online,8,9445.72,75565.76,Cash,7450
161,2024-10-14,Cricket Bat,Sports,North,Offline,8,4060.77,32486.16,UPI,2781
162,2024-08-03,Smartphone,Electronics,North,Online,9,5397.08,48573.72,Credit Card,7221
163,2024-10-07,Shampoo,Beauty,East,Online,1,7952.3,7952.3,UPI,2160
164,2025-03-09,Oil,Groceries,West,Offline,5,7033.47,35167.35,Credit Card,6353
165,2024-08-10,Sweater,Clothing,South,Online,3,9554.58,28663.74,Cash,3913
166,2025-04-08,Jeans,Clothing,South,Online,4,1688.61,6754.44,UPI,4675
167,2025-06-22,Yoga Mat,Sports,West,Online,3,3274.9,9824.7,Credit Card,6840
168,2024-08-04,Painting,Home Decor,South,Offline,6,6037.76,36226.56,Credit Card,8503
169,2025-06-03,Headphones,Electronics,East,Offline,10,6497.17,64971.7,Net Banking,8323
170,2024-08-15,Shampoo,Beauty,South,Online,7,2582.27,18075.89,UPI,2953
171,2024-12-11,Cricket Bat,Sports,West,Online,5,3877.24,19386.2,Cash,5466
172,2025-02-06,Jeans,Clothing,South,Online,1,5030.84,5030.84,Cash,9786
173,2024-08-09,Sweater,Clothing,West,Online,4,4978.33,19913.32,Credit Card,3498
174,2024-09-20,Jeans,Clothing,East,Online,5,4079.36,20396.8,Cash,7223
175,2025-03-08,Shampoo,Beauty,West,Online,2,8870.13,17740.26,UPI,6936
176,2024-07-19,Sweater,Clothing,North,Online,4,5478.39,21913.56,UPI,1965
177,2024-10-05,Painting,Home Decor,South,Online,1,9961.17,9961.17,UPI,3997
178,2024-10-18,Smartphone,Electronics,East,Offline,1,1855.56,1855.56,UPI,9183
179,2025-04-21,Lipstick,Beauty,West,Offline,6,8434.27,50605.62,Cash,8815
180,2025-01-01,Laptop,Electronics,West,Offline,9,6900.46,62104.14,Credit Card,6733
181,2025-06-15,Painting,Home Decor,South,Online,6,2026.84,12161.04,UPI,3267
182,2024-07-27,Headphones,Electronics,West,Offline,2,8659.33,17318.66,Cash,5913
183,2025-02-25,Curtains,Home Decor,South,Offline,3,5557.09,16671.27,Cash,7344
184,2024-11-26,Yoga Mat,Sports,East,Offline,6,6317.96,37907.76,Credit Card,5061
185,2024-12-21,Headphones,Electronics,West,Offline,7,1999.21,13994.47,Credit Card,6920
186,2025-01-21,Lipstick,Beauty,North,Offline,2,2192.7,4385.4,Credit Card,7801
187,2025-06-11,Sweater,Clothing,East,Offline,7,2367.14,16569.98,Net Banking,3212
188,2025-05-30,Headphones,Electronics,South,Online,1,8835.43,8835.43,Credit Card,2181
189,2024-10-23,Tennis Racket,Sports,East,Online,10,8579.53,85795.3,Net Banking,7799
190,2024-11-26,Lamp,Home Decor,North,Online,7,4662.5,32637.5,Net Banking,5045
191,2025-06-23,Sweater,Clothing,West,Offline,7,8446.89,59128.23,UPI,1130
192,2024-08-19,Vase,Home Decor,South,Online,9,1891.45,17023.05,UPI,4887
193,2024-08-28,Sweater,Clothing,North,Offline,3,7741.52,23224.56,Cash,6492
194,2025-03-14,Camera,Electronics,North,Online,2,6141.54,12283.08,Credit Card,4961
195,2025-02-04,Lamp,Home Decor,West,Offline,1,6650.76,6650.76,UPI,6983
196,2024-10-28,Jeans,Clothing,East,Online,10,8268.77,82687.7,Credit Card,1417
197,2025-01-01,Vase,Home Decor,North,Online,8,2789.3,22314.4,Net Banking,3643
198,2024-10-23,Wheat,Groceries,South,Offline,5,6060.82,30304.1,Cash,2386
199,2024-12-06,Shampoo,Beauty,West,Online,7,5844.61,40912.27,Cash,9499
200,2024-09-12,Rice,Groceries,South,Online,6,2278.97,13673.82,UPI,4058
201,2025-03-04,Camera,Electronics,North,Online,7,1485.86,10401.02,UPI,3344
202,2025-07-09,Camera,Electronics,West,Offline,3,7353.23,22059.69,UPI,2635
203,2024-12-18,Face Wash,Beauty,South,Offline,5,4293.35,21466.75,UPI,4498
204,2025-03-05,Perfume,Beauty,South,Offline,6,6871.78,41230.68,Net Banking,1968
205,2024-09-26,Lamp,Home Decor,East,Online,9,6498.45,58486.05,Net Banking,4851
206,2025-04-17,Laptop,Electronics,North,Offline,2,1180.16,2360.32,Net Banking,7550
207,2024-10-25,Lipstick,Beauty,East,Online,7,4666.13,32662.91,Cash,1622
208,2024-09-17,Oil,Groceries,West,Offline,10,2667.05,26670.5,Cash,7044
209,2024-08-29,Headphones,Electronics,North,Online,3,7141.5,21424.5,UPI,7263
210,2025-05-12,Sugar,Groceries,North,Online,2,508.19,1016.38,Credit Card,8706
211,2025-04-03,Sweater,Clothing,East,Online,7,7495.67,52469.69,Credit Card,5852
212,2024-12-25,Curtains,Home Decor,North,Online,1,3691.1,3691.1,Net Banking,1404
213,2025-03-05,Lipstick,Beauty,South,Online,2,2456.49,4912.98,Cash,1893
214,2024-11-02,Sweater,Clothing,South,Offline,9,1189.99,10709.91,Cash,5900
215,2025-01-12,Oil,Groceries,South,Online,10,2321.09,23210.9,Net Banking,6499
216,2025-06-14,Sugar,Groceries,North,Offline,3,9216.13,27648.39,Credit Card,4722
217,2025-05-06,Rice,Groceries,East,Offline,8,9769.27,78154.16,UPI,9466
218,2024-10-06,Jeans,Clothing,South,Offline,1,7816.09,7816.09,Credit Card,5008
219,2025-05-25,Football,Sports,North,Offline,10,1262.32,12623.2,Net Banking,3178
220,2025-01-19,Oil,Groceries,South,Online,9,2371.57,21344.13,UPI,4918
221,2024-11-21,Laptop,Electronics,South,Offline,1,2296.72,2296.72,Credit Card,5863
222,2024-10-01,Cricket Bat,Sports,West,Online,3,6921.75,20765.25,UPI,2575
223,2025-04-15,Rice,Groceries,South,Online,7,2002.79,14019.53,Net Banking,6295
224,2024-11-23,Painting,Home Decor,North,Online,5,8146.06,40730.3,Credit Card,6511
225,2024-10-19,Oil,Groceries,North,Offline,9,5883.49,52951.41,Net Banking,4026
226,2025-02-02,Curtains,Home Decor,East,Online,9,8906.48,80158.32,Net Banking,2223
227,2024-11-01,Perfume,Beauty,South,Offline,5,3142.52,15712.6,Credit Card,4036
228,2024-08-14,Football,Sports,West,Online,9,5687.41,51186.69,UPI,8108
229,2024-09-29,Cricket Bat,Sports,North,Offline,5,8372.65,41863.25,Net Banking,2143
230,2025-02-15,Headphones,Electronics,North,Online,8,5008.56,40068.48,UPI,8887
231,2024-09-28,Vase,Home Decor,East,Online,9,6790.68,61116.12,Credit Card,5591
232,2025-04-13,Painting,Home Decor,North,Online,8,5250.41,42003.28,UPI,8457
233,2025-05-05,Sugar,Groceries,East,Offline,8,8277.98,66223.84,Credit Card,1729
234,2024-11-09,Lamp,Home Decor,East,Offline,6,5167.83,31006.98,Net Banking,8654
235,2024-11-24,Laptop,Electronics,West,Offline,4,6254.38,25017.52,Net Banking,1520
236,2024-08-21,Sweater,Clothing,East,Offline,2,4428.58,8857.16,Net Banking,6326
237,2024-09-18,Smartphone,Electronics,West,Offline,9,9115.45,82039.05,Cash,5059
238,2025-01-26,Sweater,Clothing,East,Offline,9,9607.8,86470.2,Net Banking,8242
239,2025-03-19,Oil,Groceries,West,Online,3,953,2859,UPI,8379
240,2025-01-11,Sweater,Clothing,North,Offline,10,9165.23,91652.3,Credit Card,9624
241,2024-07-31,Curtains,Home Decor,East,Online,10,9662.66,96626.6,UPI,9725
242,2025-03-24,Perfume,Beauty,East,Offline,1,4992.13,4992.13,Credit Card,2367
243,2024-11-11,Football,Sports,South,Online,1,3771.1,3771.1,UPI,7919
244,2025-05-17,Curtains,Home Decor,South,Online,7,4697.83,32884.81,Net Banking,3140
245,2025-05-24,Wheat,Groceries,North,Online,5,9410.48,47052.4,Credit Card,9867
246,2025-04-21,Oil,Groceries,East,Offline,8,8720.75,69766,Credit Card,7268
247,2024-08-03,Lamp,Home Decor,North,Online,5,2603.64,13018.2,Net Banking,3165
248,2024-11-08,Shampoo,Beauty,North,Online,4,1797.69,7190.76,Credit Card,8251
249,2024-08-09,Cricket Bat,Sports,West,Online,3,9985.71,29957.13,Cash,6800
250,2024-08-03,Curtains,Home Decor,West,Online,8,7099.25,56794,UPI,3972
251,2024-12-23,T-Shirt,Clothing,North,Offline,8,6235.06,49880.48,UPI,5078
252,2024-10-19,Jeans,Clothing,West,Online,5,8241.03,41205.15,Credit Card,5970
253,2025-02-09,Football,Sports,West,Offline,7,5483.25,38382.75,Net Banking,1178
254,2024-10-15,Shampoo,Beauty,East,Online,4,9888.25,39553,UPI,2797
255,2025-01-27,Yoga Mat,Sports,North,Offline,4,8076.93,32307.72,Net Banking,7132
256,2024-12-03,Smartphone,Electronics,South,Offline,7,3121.55,21850.85,Credit Card,2064
257,2024-08-06,Tennis Racket,Sports,East,Offline,5,492.81,2464.05,Net Banking,5861
258,2025-06-12,Shampoo,Beauty,South,Offline,5,6580.53,32902.65,Net Banking,8728
259,2024-07-23,Rice,Groceries,South,Online,3,8945.25,26835.75,Cash,7928
260,2025-01-09,Shampoo,Beauty,South,Offline,7,3317.89,23225.23,Net Banking,9092
261,2025-07-04,Sugar,Groceries,East,Online,2,8837.89,17675.78,UPI,3331
262,2024-07-23,Sweater,Clothing,East,Online,9,5330.64,47975.76,Net Banking,6357
263,2025-05-29,Lipstick,Beauty,East,Online,4,6531.52,26126.08,Credit Card,7630
264,2025-01-17,Perfume,Beauty,North,Online,3,1037.87,3113.61,Credit Card,6949
265,2025-06-08,Laptop,Electronics,East,Online,2,1966.69,3933.38,Cash,9360
266,2025-06-08,Shampoo,Beauty,South,Offline,7,3206.13,22442.91,Credit Card,4629
267,2025-01-21,Rice,Groceries,North,Online,10,5476.74,54767.4,Cash,2086
268,2024-11-18,Jeans,Clothing,West,Offline,2,5741.69,11483.38,Cash,5003
269,2024-08-09,Perfume,Beauty,West,Online,7,9456.49,66195.43,Net Banking,1462
270,2025-05-20,Rice,Groceries,West,Offline,6,3545.24,21271.44,Net Banking,2197
271,2025-02-07,T-Shirt,Clothing,North,Online,8,4263.85,34110.8,UPI,5406
272,2024-09-30,Jacket,Clothing,South,Offline,5,5398.24,26991.2,Cash,3484
273,2024-09-16,Jacket,Clothing,South,Offline,7,5822.84,40759.88,Net Banking,6177
274,2025-03-10,Jeans,Clothing,North,Online,3,8173.04,24519.12,Credit Card,5122
275,2025-01-04,Cricket Bat,Sports,North,Online,6,6748.72,40492.32,Net Banking,1889
276,2025-01-29,Painting,Home Decor,East,Online,9,2013.96,18125.64,Credit Card,5779
277,2024-10-31,Yoga Mat,Sports,West,Online,8,5471.58,43772.64,Credit Card,7449
278,2025-06-14,Painting,Home Decor,West,Offline,2,2629.95,5259.9,Cash,6732
279,2024-12-09,Rice,Groceries,South,Online,9,417.44,3756.96,Cash,9836
280,2025-07-10,Lipstick,Beauty,North,Online,7,8768.81,61381.67,Net Banking,8731
281,2024-09-13,Perfume,Beauty,West,Offline,8,2123.12,16984.96,Cash,1828
282,2025-05-09,Painting,Home Decor,West,Online,5,135.39,676.95,Credit Card,3695
283,2024-09-15,Smartphone,Electronics,North,Online,1,297.57,297.57,Credit Card,3009
284,2025-03-23,Jacket,Clothing,South,Offline,7,1677.03,11739.21,Net Banking,8647
285,2024-07-18,Wheat,Groceries,East,Online,10,9672.22,96722.2,Credit Card,9463
286,2025-05-24,Curtains,Home Decor,East,Offline,5,6620.79,33103.95,Net Banking,9704
287,2025-06-23,Jacket,Clothing,West,Offline,4,170.61,682.44,UPI,9008
288,2025-03-05,Football,Sports,West,Offline,10,2515.91,25159.1,UPI,9887
289,2024-10-25,Lamp,Home Decor,West,Online,8,8206.09,65648.72,UPI,4255
290,2024-08-11,Football,Sports,North,Online,2,9866.68,19733.36,Net Banking,4796
291,2025-01-16,Tennis Racket,Sports,South,Offline,4,6275.21,25100.84,Cash,5761
292,2024-11-09,Lamp,Home Decor,North,Online,5,6467.83,32339.15,Cash,2735
293,2024-12-26,Vase,Home Decor,West,Online,10,6764.76,67647.6,Credit Card,4298
294,2024-10-19,Smartphone,Electronics,North,Offline,1,8519.54,8519.54,UPI,6063
295,2025-03-16,Shampoo,Beauty,West,Offline,7,1241.11,8687.77,Cash,8087
296,2025-06-06,T-Shirt,Clothing,West,Online,9,6764.11,60876.99,UPI,1980
297,2024-12-04,Camera,Electronics,South,Offline,9,2836.23,25526.07,Cash,1346
298,2025-02-07,Perfume,Beauty,North,Offline,4,2830.33,11321.32,Cash,9116
299,2025-05-14,Smartphone,Electronics,West,Offline,10,8736.6,87366,UPI,1444
300,2024-10-23,Oil,Groceries,North,Online,10,2427.19,24271.9,UPI,6555
301,2024-12-28,Cricket Bat,Sports,West,Offline,6,4602.2,27613.2,Cash,5311
302,2025-05-20,Face Wash,Beauty,East,Online,4,6210.82,24843.28,Credit Card,6656
303,2025-04-13,Painting,Home Decor,South,Offline,10,3769.33,37693.3,Cash,8708
304,2025-02-16,Face Wash,Beauty,West,Online,6,6489.87,38939.22,Net Banking,1342
305,2024-11-15,Oil,Groceries,North,Online,9,6158.48,55426.32,Net Banking,7051
306,2025-01-05,Jeans,Clothing,West,Online,1,9745.6,9745.6,Cash,4479
307,2025-03-15,Laptop,Electronics,South,Offline,10,3908.49,39084.9,Cash,8410
308,2025-04-24,Lipstick,Beauty,South,Online,6,2466.37,14798.22,Credit Card,9178
309,2025-05-04,Lipstick,Beauty,East,Offline,8,1725.03,13800.24,Cash,4567
310,2024-09-05,Tennis Racket,Sports,South,Offline,4,9687.68,38750.72,UPI,6156
